from,to,condition,sheet
祭师兽,咲耶兽,等级≥ 75 神圣经验≥ 32500 野兽经验≥ 29000 5个进化器,完全体进化路线
迪路兽,花仙兽,等级≥ 48 植物经验≥ 6780 友情≥ 3♥,完全体进化路线
花仙兽,蔷薇兽,等级≥ 75 植物经验≥ 25000 胜率≥ 65% 4个进化器,完全体进化路线
恶魔兽,地狱使者兽,等级≥ 65 黑暗经验≥ 7404 友情≤ 1♥ 胜率≥ 65%,完全体进化路线
地狱使者兽,迪亚波罗兽,等级≥ 75 击杀数≥ 6000 黑暗经验≥ 38000 7个进化器,完全体进化路线
红色V龙兽,超比多兽（红）,等级≥ 56 昆虫经验≥ 5690,完全体进化路线
超比多兽（红）,力神比多兽,等级≥ 75 昆虫经验≥ 31000 友情≥ 4.5♥ 7个进化器,完全体进化路线
虫蛹兽,超比多兽（蓝）,等级≥ 55 昆虫经验≥ 5100,完全体进化路线
超比多兽（蓝）,力神比多兽,等级≥ 75 昆虫经验≥ 31000 友情≥ 4.5♥ 7个进化器,完全体进化路线
大锹形虫兽,究极古加兽,等级≥ 75 昆虫经验≥ 28000 胜率≥ 85% 6个进化器,完全体进化路线
火焰兽,吸血魔兽,等级≥ 49 黑暗经验≥ 5000 胜率≥ 85%,完全体进化路线
吸血魔兽,怨毒吸血魔兽,等级≥ 75 黑暗经验≥ 42000 友情≥ .5♥ & 友情≤ 1♥ 7个进化器,完全体进化路线
海龙兽,奇虾兽,等级≥ 50 水生经验≥ 5230 友情≤ 1.5♥,完全体进化路线
奇虾兽,河豚兽,等级≥ 75 水生经验≥ 39000 胜率≥ 95% 6个进化器,完全体进化路线
白狮兽,剑狮兽,等级≥ 75 野兽经验≥ 29500 友情≥ 4.5♥ 5个进化器,完全体进化路线
狮子兽,装载狮子兽,等级≥ 50 野兽经验≥ 2500 机械经验≥ 7520 近防训练值≥ 300,完全体进化路线
装载狮子兽,重装狮子兽,等级≥ 75 机械经验≥ 53000 近防训练值≥ 450 8个进化器,完全体进化路线
明星兽,陨石兽,等级≥ 50 机械经验≥ 5100,完全体进化路线
陨石兽,金属猿猴兽,等级≥ 75 机械经验≥ 34000 胜率≥ 95% 5个进化器,完全体进化路线
巨龙兽,EX巨龙兽,等级≥ 55 巨龙经验≥ 7250 友情≥ 4.5♥,完全体进化路线
EX巨龙兽,红锈巨龙兽,等级≥ 75 胜率≥ 80% 机械经验≥ 40000 7个进化器,完全体进化路线
雪人兽,熊仔兽,等级≥ 65 野兽经验≥ 7250 友情≥ 4.5♥,完全体进化路线
熊仔兽,噩梦熊仔兽,等级≥ 75 击杀数≥ 7000 友情≥ 4.5♥ 8个进化器,完全体进化路线
鬼怪兽,恶霸熊仔兽,等级≥ 45 野兽经验≥ 4855 黑暗经验≥ 5900,完全体进化路线
恶霸熊仔兽,噩梦熊仔兽,等级≥ 75 击杀数≥ 7000 友情≥ 4.5♥ 8个进化器,完全体进化路线
雪人兽,熊猫兽,等级≥ 60 野兽经验≥ 7550 友情≥ 1♥ & 友情≤ 2♥,完全体进化路线
熊猫兽,正义兽,等级≥ 75 黑暗经验≤ 8000 胜率≥ 95% 4个进化器,完全体进化路线
猿猴兽,金属猿猴兽,等级≥ 75 机械经验≥ 34000 胜率≥ 95% 5个进化器,完全体进化路线
刃龙兽,八咫乌兽,等级≥ 45 鸟类经验≥ 5700 黑暗经验≥ 3650,完全体进化路线
八咫乌兽,渡鸦兽,等级≥ 75 鸟类经验≥ 33000 黑暗经验≥ 10000 4个进化器,完全体进化路线
老爷怪蛙兽,河豚兽,等级≥ 75 水生经验≥ 39000 胜率≥ 95% 6个进化器,完全体进化路线
鬼怪兽,南瓜兽,等级≥ 45 黑暗经验≥ 3500 植物经验≥ 2200,完全体进化路线
南瓜兽,高贵南瓜兽,等级≥ 75 成就≥ 80 友情≥ 2♥ & 友情≤ 4♥ 7个进化器,完全体进化路线
光明兽：堕落形态,光明兽：撒旦形态,等级≥ 75 击杀数≥ 10000 黑暗经验≥ 36660 3个加速器,完全体进化路线
V仔兽EX,机甲龙兽,& 刺钉兽 合体进化：1个数码合体芯片 等级≥ 50,完全体进化路线
机甲龙兽,帝皇龙兽：龙形态,等级≥ 75 巨龙经验≥ 41000 友情≥ 2♥ & 友情≤ 3♥ 7个进化器,完全体进化路线
荷鲁斯兽,人面战鹰兽,等级≥ 60 鸟类经验≥ 8000 神圣经验≥ 9000 拥有过人面战鹰兽,完全体进化路线
人面战鹰兽,瓦尔基里兽,等级≥ 75 鸟类经验≥ 41000 胜率≥ 99% 6个进化器,完全体进化路线
天使兽,土偶兽,& 战甲兽 合体进化：1个数码合体芯片 等级≥ 50,完全体进化路线
土偶兽,维京兽,等级≥ 75 水生经验≥ 20000 防御训练值≥ 350 6个进化器,完全体进化路线
天使兽,救世主哈克兽,等级≥ 59 巨龙经验≥ 6200 神圣经验≥ 7300 胜率≥ 80%,完全体进化路线
救世主哈克兽,杰斯兽,等级≥ 75 神圣经验≥ 57000 胜率≥ 98% 7个进化器,完全体进化路线
火焰兽,豆豆兽,等级≥ 48 机械经验≥ 5200,完全体进化路线
豆豆兽,正义兽,等级≥ 75 黑暗经验≤ 8000 胜率≥ 95% 4个进化器,完全体进化路线
巨龙兽,腕龙兽,等级≥ 58 巨龙经验≥ 2650 水生经验≥ 6190 胜率≥ 40%,完全体进化路线
腕龙兽,炮龙兽,等级≥ 75 巨龙经验≥ 25600 机械经验≥ 32000 5个进化器,完全体进化路线
锹形虫兽,炮蜂兽,等级≥ 46 昆虫经验≥ 3600 机械经验≥ 4120,完全体进化路线
炮蜂兽,虎蜂兽,等级≥ 75 昆虫经验≥ 29000 胜率≥ 90% 6个进化器,完全体进化路线
高吼兽,奥米加高吼兽,等级≥ 70 神圣经验≥ 45000 胜率≥ 95% 6个进化器,完全体进化路线
奥米加高吼兽,奥米加冒充兽,& 冒充兽 合体进化：1个数码组合芯片 等级≥ 85 机械经验≥ 71000,完全体进化路线
火焰兽,阿修罗兽,等级≥ 50 神圣经验≥ 10000,完全体进化路线
阿修罗兽,斩伐兽,等级≥ 75 黑暗经验≥ 51000 胜率≥ 60% 5个进化器,完全体进化路线
刃龙兽,鹦鹉兽,等级≥ 48 鸟类经验≥ 7800 胜率≥ 40%,完全体进化路线
鹦鹉兽,凤凰兽,等级≥ 75 鸟类经验≥ 26500 神圣经验≥ 20000 5个进化器,完全体进化路线
怪蛙兽,铁钩船长兽,等级≥ 51 水生经验≥ 6950 胜率≥ 70%,完全体进化路线
铁钩船长兽,尼普顿兽,等级≥ 75 水生经验≥ 35000 胜率≥ 80% 4个进化器,完全体进化路线
迪路兽,丁香兽,等级≥ 46 植物经验≥ 7860 友情≥ 3♥,完全体进化路线
丁香兽,蔷薇兽,等级≥ 75 植物经验≥ 25000 胜率≥ 65% 4个进化器,完全体进化路线
天使兽,骏鹰兽,等级≥ 46 鸟类经验≥ 4920 野兽经验≥ 1895,完全体进化路线
骏鹰兽,瓦尔德兽,等级≥ 75 鸟类经验≥ 25000 神圣经验≥ 40000 7个进化器,完全体进化路线
布利陀罗兽,阿耆尼兽,等级≥ 40 携带模式选择器,完全体进化路线
阿耆尼兽,阿尔达兽,& 布利陀罗兽 合体进化：1个数码合体芯片 等级≥ 65,完全体进化路线
阿尔达兽,凯撒暴龙兽,等级≥ 75 击杀数≥ 6000 巨龙经验≥ 39990 8个进化器,完全体进化路线
加鲁姆兽,古代加鲁鲁兽,等级≥ 85 击杀数≥ 10000 野兽经验≥ 65000 8个进化器,完全体进化路线
舒兹兽,古代彩虹兽,等级≥ 85 击杀数≥ 10000 鸟类经验≥ 65000 8个进化器,完全体进化路线
巴萨兽,冰熊兽,等级≥ 40 携带模式选择器,完全体进化路线
雷光兽,电光兽,等级≥ 40 携带模式选择器,完全体进化路线
鬼怪兽,胧魂兽,等级≥ 48 黑暗经验≥ 7260 胜率≥ 96%,完全体进化路线
胧魂兽,斩伐兽,等级≥ 75 黑暗经验≥ 51000 胜率≥ 60% 5个进化器,完全体进化路线
迪路兽,冒充兽,等级≥ 42 野兽经验≥ 3525 胜率≤ 30%,完全体进化路线
冒充兽,奥米加冒充兽,& 奥米加高吼兽 合体进化：1个数码组合芯片 等级≥ 85 机械经验≥ 71000,完全体进化路线
恶魔兽,新种恶魔兽,等级≥ 45 黑暗经验≥ 7520 胜率≥ 60%,完全体进化路线
新种恶魔兽,但丁恶魔兽,等级≥ 75 击杀数≥ 7000 黑暗经验≥ 65000 8个进化器,完全体进化路线
海狮兽,人鱼兽,等级≥ 48 水生经验≥ 6500 近攻训练≥ 280,完全体进化路线
人鱼兽,海天使兽,等级≥ 75 神圣经验≥ 35000 友情≥5♥ 5个进化器,完全体进化路线
厄俄斯兽,厄俄斯兽,等级≥ 85 昆虫经验≥ 50000 机械经验≥ 32500 8个进化器,完全体进化路线
埃癸奥都斯兽,朱庇特兽,等级≥ 75 神圣经验≥ 45000 胜率≥ 99% 8个进化器,完全体进化路线
冰河兽,冰晶苍龙兽,等级≥ 56 水生经验≥ 7000 友情≥ 4♥ 拥有过冰晶苍龙兽,完全体进化路线
冰晶苍龙兽,魔导碧晶兽,等级≥ 75 水生经验≥ 32000 胜率≥ 90% 8个进化器,完全体进化路线
大蛇兽,尼德霍格兽,等级≥ 78 巨龙经验≥ 65800 击杀数≥ 8000 8个进化器,完全体进化路线
守卫机器人兽,纳米兽,等级≥ 45 机械经验≥ 5200 黑暗经验≥ 404,完全体进化路线
纳米兽,无限龙兽,等级≥ 75 机械经验≥ 29150 黑暗经验≥ 8000 5个进化器,完全体进化路线
卡诺维斯兽,天狼星兽,等级≥ 75 巨龙经验≥ 35000 神圣经验≥ 80000 7个进化器,完全体进化路线
轩辕十四兽,大角星兽,等级≥ 75 巨龙经验≥ 35000 黑暗经验≥ 80000 7个进化器,完全体进化路线
武天兽,柯罗诺兽：神圣形态,等级≥ 90 完成挑战模式：时间大师 鸟类经验≥ 150000 10个加速器,完全体进化路线
巨硬针毛兽,螺旋兽,等级≥ 75 野兽经验≥ 95000 友情≥ 5♥ 7个进化器,完全体进化路线
战斗暴龙兽,奥米加兽,& 钢铁加鲁鲁兽 合体进化：1个数码合体芯片 等级≥ 85 神圣经验≥ 90000,究极体进化路线
黑战斗暴龙兽,奥米加兽兹瓦特,& 钢铁加鲁鲁兽（黑） 合体进化：1个数码合体芯片 等级≥ 85 黑暗经验≥ 90000,究极体进化路线
骷髅暴龙兽,闪光暴龙兽,等级≥ 77 巨龙经验≥ 25000 神圣经验≥ 15600 3个进化器,究极体进化路线
闪光暴龙兽,闪光暴龙兽：爆裂形态,等级≥ 85 巨龙经验≥ 55000 神圣经验≥ 37500 2个加速器,究极体进化路线
机械暴龙兽,胜利暴龙兽,等级≥ 77 巨龙经验≥ 39000 胜率≥ 99% 5个进化器,究极体进化路线
机械暴龙兽（病毒）,电光暴龙兽,等级≥ 75 巨龙经验≥ 15000 机械经验≥ 46500 5个进化器,究极体进化路线
电光暴龙兽,奥米加兽 Alter-S,& 偃月加鲁鲁兽 合体进化：1个数码合体芯片 等级≥ 85 神圣经验≥ 90000,究极体进化路线
机械暴龙兽,无限龙兽,等级≥ 79 机械经验≥ 29150 黑暗经验≥ 10000 5个进化器,究极体进化路线
无限龙兽,混沌龙兽,等级≥ 90 击杀数≥ 7000 4个加速器,究极体进化路线
机械暴龙兽,红锈巨龙兽,等级≥ 82 机械经验≥ 34000 巨龙经验≥ 19000 7个进化器,究极体进化路线
骷髅暴龙兽,颅骨兽,等级≥ 83 机械经验≥ 31000 胜率≥ 95% 4个进化器,究极体进化路线
机械暴龙兽,红莲骑士兽,等级≥ 80 神圣经验≥ 29000 黑暗经验≤ 6000 5个进化器,究极体进化路线
大古拉兽,混沌骑士兽,等级≥ 80 携带黑数码核心数据 黑暗经验≥ 29000 5个进化器,究极体进化路线
大古拉兽,暗龙兽,等级≥ 78 黑暗经验≥ 29800 机械经验≥ 25410 4个进化器,究极体进化路线
猿猴兽,圣加鲁哥兽,等级≥ 83 机械经验≥ 32100 野兽经验≥ 19200 6个进化器,究极体进化路线
圣加鲁哥兽,黑圣加鲁哥兽,携带黑数码核心数据 1个进化器,究极体进化路线
猿猴兽,小丑兽,等级≥ 77 黑暗经验≥ 33500 胜率≥ 80% 6个进化器,究极体进化路线
阿尔法兽,阿尔法兽：王龙剑,& 王龙兽 合体进化：1个数码合体芯片 等级≥ 90 神圣经验≥ 100000,究极体进化路线
王龙兽,阿尔法兽：王龙剑,& 阿尔法兽 合体进化：1个数码合体芯片 等级≥ 90 神圣经验≥ 100000,究极体进化路线
天女兽,蔷薇兽,等级≥ 78 植物经验≥ 25000 胜率≥ 65% 4个进化器,究极体进化路线
蔷薇兽,蔷薇兽：爆裂形态,等级≥ 85 植物经验≥ 55000 神圣经验≥ 37500 2个加速器,究极体进化路线
女恶魔兽,莲花兽,等级≥ 79 植物经验≥ 32000 友情≥ 4♥ 5个进化器,究极体进化路线
莲花兽,大王花兽,& 蔷薇兽 合体进化：1个数码合体芯片 等级≥ 80 植物经验≥ 75000,究极体进化路线
蔷薇兽,大王花兽,& 莲花兽 合体进化：1个数码合体芯片 等级≥ 80 植物经验≥ 75000,究极体进化路线
跃升暴龙兽,斩龙兽,等级≥ 80 巨龙经验≥ 35000 胜率≥ 98% 7个进化器,究极体进化路线
斩龙兽,艾可萨兽,& 破坏龙兽 合体进化：1个数码合体芯片 等级≥ 95 巨龙经验≥ 150000,究极体进化路线
多路暴龙兽,破坏龙兽,等级≥ 81 机械经验≥ 25840 黑暗经验≥ 15780 5个进化器,究极体进化路线
破坏龙兽,艾可萨兽,& 斩龙兽 合体进化：1个数码合体芯片 等级≥ 95 巨龙经验≥ 150000,究极体进化路线
百万海龙兽,千兆海龙兽,等级≥ 80 水生经验≥ 29500 机械经验≥ 65000 8个进化器,究极体进化路线
百万海龙兽,尼普顿兽,等级≥ 78 水生经验≥ 35000 胜率≥ 80% 4个进化器,究极体进化路线
座天使兽,座天使兽：堕落形态,等级≥ 85 黑暗经验≥ 66666 携带黑色齿轮 4个进化器,究极体进化路线
幻影兽,怨毒吸血魔兽,等级≥ 79 黑暗经验≥ 42000 友情≥ .5♥ & 友情≤ 1♥ 7个进化器,究极体进化路线
怨毒吸血魔兽,贝利亚吸血魔兽,等级≥ 90 击杀数≥ 8000 黑暗经验≥ 68000 2个加速器,究极体进化路线
咲耶兽,咲耶兽：巫女模式,等级≥ 85 击杀数≥ 10000 神圣经验≥ 92000 5个加速器,究极体进化路线
女恶魔兽,葛叶兽,等级≥ 85 神圣经验≥ 32500 友情≥ 1.5♥ & 友情≤ 3.5♥ 5个进化器,究极体进化路线
葛叶兽,葛叶兽：巫女模式,等级≥ 85 击杀数≥ 10000 神圣经验≥ 92000 5个加速器,究极体进化路线
恶霸熊仔兽,别西卜兽,等级≥ 77 黑暗经验≥ 33000 胜率≥ 80% 5个进化器,究极体进化路线
别西卜兽,别西卜兽：疾风形态,等级≥ 85 击杀数≥ 10000 6个加速器,究极体进化路线
祖利兽,究极古加兽,等级≥ 77 昆虫经验≥ 30000 胜率≥ 85% 6个进化器,究极体进化路线
百万海龙兽,利维亚兽,等级≥ 80 水生经验≥ 35000 黑暗经验≥ 42000 7个进化器,究极体进化路线
恶霸熊仔兽,木偶兽,等级≥ 80 植物经验≥ 35800 黑暗经验≥ 15800 4个进化器,究极体进化路线
女恶魔兽,密涅瓦兽,等级≥ 80 友情≥ 3.5♥ 胜率≥ 97% 5个进化器,究极体进化路线
密涅瓦兽,梅尔瓦兽,等级≥ 85 击杀数≥ 3000 神圣经验≥ 100000 5个加速器,究极体进化路线
祖顿兽,螺栓兽,等级≥ 85 黑暗经验≥ 35000 胜率≤ 30%6个进化器,究极体进化路线
蓝色火焰兽,幻影加奥加兽,等级≥ 82 野兽经验≥ 31550 胜率≥ 75% 5个进化器,究极体进化路线
幻影加奥加兽,幻影加奥加兽：爆裂形态,等级≥ 85 野兽经验≥ 55000 神圣经验≥ 37500 2个加速器,究极体进化路线
天女兽,炽天使兽,等级≥ 81 神圣经验≥ 27000 黑暗经验≤ 8000 4个进化器,究极体进化路线
天翔V龙兽,渡鸦兽,等级≥ 82 鸟类经验≥ 35000 黑暗经验≥ 12000 4个进化器,究极体进化路线
渡鸦兽,渡鸦兽：爆裂形态,等级≥ 85 鸟类经验≥ 55000 神圣经验≥ 37500 2个加速器,究极体进化路线
大古拉兽,领主骑士兽,等级≥ 79 神圣经验≥ 33500 机械经验≥ 25300 5个进化器,究极体进化路线
钢铁加鲁鲁兽,奥米加兽,& 战斗暴龙兽 合体进化：1个数码合体芯片 等级≥ 85 神圣经验≥ 90000,究极体进化路线
纳米兽,钢铁加鲁鲁兽（黑）,等级≥ 78 水生经验≥ 30000 机械经验≥ 22000 4个进化器,究极体进化路线
钢铁加鲁鲁兽（黑）,奥米加兽兹瓦特,& 黑战斗暴龙兽 合体进化：1个数码合体芯片 等级≥ 85 黑暗经验≥ 90000,究极体进化路线
兽人加鲁鲁,终弩加鲁鲁兽,等级≥ 78 野兽经验≥ 21550 机械经验≥ 45000 5个进化器,究极体进化路线
兽人加鲁鲁,偃月加鲁鲁兽,等级≥ 79 野兽经验≥ 39950 水生经验≥ 38600 5个进化器,究极体进化路线
偃月加鲁鲁兽,奥米加兽 Alter-S,& 电光暴龙兽 合体进化：1个数码合体芯片 等级≥ 85 神圣经验≥ 90000,究极体进化路线
兽人加鲁鲁,芳香兽,等级≥ 76 野兽经验≥ 32000 胜率≥ 90% 4个进化器,究极体进化路线
芳香兽,芳香兽：豹式形态,等级≥ 80 携带模式选择器,究极体进化路线
芳香兽：豹式形态,芳香兽,等级≥ 80 携带模式选择器,究极体进化路线
数码蛋兽,贝尔菲兽：沉睡形态,等级≥ 82 黑暗经验≥ 36000 野兽经验≥ 12500 4个进化器,究极体进化路线
贝尔菲兽：沉睡形态,贝尔菲兽：愤怒形态,等级≥ 85 击杀数≥ 9000 黑暗经验≥ 55000 3个加速器,究极体进化路线
神圣天使兽,智天使兽（善）,等级≥ 79 神圣经验≥ 28000 野兽经验≥ 28000 4个进化器,究极体进化路线
幻影兽,智天使兽（恶）,等级≥ 83 黑暗经验≥ 28000 野兽经验≥ 28000 4个进化器,究极体进化路线
女恶魔兽,迪亚波罗兽,等级≥ 85 击杀数≥ 10000 黑暗经验≥ 38000 7个进化器,究极体进化路线
迪亚波罗兽,灭世魔兽,等级≥ 95 击杀数 击杀数≥ 12000 5个加速器,究极体进化路线
狮子兽,剑狮兽,等级≥ 65 野兽经验≥ 38500 友情≥ 5♥ 4个进化器,究极体进化路线
剑狮兽,恐虎兽,等级≥ 90 击杀数 击杀数≥ 10000 5个加速器,究极体进化路线
迦楼罗兽,瓦尔德兽,等级≥ 85 鸟类经验≥ 25000 神圣经验≥ 40000 7个进化器,究极体进化路线
百万海龙兽,魔神兽,等级≥ 81 友情≤ .5♥ 黑暗经验≥ 66600 3个进化器,究极体进化路线
帝皇龙兽：龙形态,帝皇龙兽：战士形态,等级≥ 80 携带模式选择器,究极体进化路线
朱红兽,帝皇龙兽：龙形态（黑）,& 三角龙兽 合体进化：1个数码合体芯片 等级≥ 78 巨龙经验≥ 44000,究极体进化路线
天翔V龙兽,杰斯兽,等级≥ 78 神圣经验≥ 67000 胜率≥ 98% 7个进化器,究极体进化路线
骷髅暴龙兽,棘龙兽,等级≥ 78 巨龙经验≥ 53000 胜率≥ 75% 6个进化器,究极体进化路线
大古拉兽,恐龙王兽,等级≥ 83 胜率≥ 80% 巨龙经验≥ 50000 7个进化器,究极体进化路线
大锹形虫兽,虎蜂兽,等级≥ 78 昆虫经验≥ 31000 胜率≥ 98% 6个进化器,究极体进化路线
炮蜂兽,女王蜂兽,等级≥ 80 拥有过虎蜂兽 击杀数≥ 6000 8个进化器,究极体进化路线
花仙兽,番长百合兽,等级≥ 80 携带番长服 胜率≥ 99% 7个进化器,究极体进化路线
巨鲸兽,海天使兽,等级≥ 77 神圣经验≥ 50000 友情≥ 5♥ 5个进化器,究极体进化路线
鼻涕兽,白金鼻涕兽,等级≥ 55 神圣经验≥ 35000 Bits≥ 10000000 6个进化器,究极体进化路线
救世主哈克兽,玛尔斯兽,等级≥ 80 野兽经验≥ 50000 胜率≥ 60% 7个进化器,究极体进化路线
天女兽,维纳斯兽,等级≥ 80 神圣经验≥ 55000 友情≥ 5♥ 7个进化器,究极体进化路线
女恶魔兽,贝尔斯塔兽,等级≥ 75 黑暗经验≥ 36500 拥有过别西卜兽 6个进化器,究极体进化路线
飞车龙兽,斩伐兽,等级≥ 80 黑暗经验≥ 55000 胜率≥ 60% 5个进化器,究极体进化路线
骷髅暴龙兽,策士兽,等级≥ 85 击杀数≥ 8000 胜率≥ 99% 6个进化器,究极体进化路线
祖顿兽,维京兽,等级≥ 75 水生经验≥ 32500 防御训练值≥ 450 6个进化器,究极体进化路线
巨鲸兽,蛇颈龙兽,等级≥ 83 水生经验≥ 32000 友情≥ 5♥ 7个进化器,究极体进化路线
电子龙兽,风神兽,等级≥ 78 击杀数≥ 4000 机械经验≥ 45000 5个进化器,究极体进化路线
风神兽,雷电兽,& 水神兽+雷神兽 合体进化：1个数码合体芯片 击杀数≥11000 机械经验≥ 70000 等级≥95,究极体进化路线
百万海龙兽,水神兽,等级≥ 82 水生经验≥ 50000 机械经验≥ 39850 6个进化器,究极体进化路线
水神兽,雷电兽,& 风神兽+雷神兽 合体进化：1个数码合体芯片 击杀数≥11000 机械经验≥ 70000 等级≥95,究极体进化路线
纳米兽,雷神兽,等级≥ 80 机械经验≥ 35980 胜率≥ 80% 4个进化器,究极体进化路线
雷神兽,雷电兽,& 风神兽+水神兽 合体进化：1个数码合体芯片 击杀数≥11000 机械经验≥ 70000 等级≥95,究极体进化路线
机械暴龙兽（病毒）,铠皇兽,等级≥ 80 击杀数≥ 3000 胜率≥ 95% 5个进化器,究极体进化路线
铠皇兽,铠皇兽：严刀之型,等级≥ 90 携带天燐严刀流 4个加速器,究极体进化路线
恶霸熊仔兽,阿努比兽,等级≥ 78 解锁：黑暗区域 神圣经验≥ 38000 7个进化器,究极体进化路线
骷髅暴龙兽,泰坦兽,等级≥ 85 黑暗经验≥ 50000 击杀数≥ 9000 8个进化器,究极体进化路线
数码蛋兽,普路托兽,等级≥ 80 黑暗经验≥ 55000 友情≤ .5♥ 7个进化器,究极体进化路线
天女兽,莫斯提兽,& 女恶魔兽 合体进化：1个数码合体芯片 等级≥ 85 神圣经验≥82000 黑暗经验≥ 82000,究极体进化路线
花仙兽,花开领主兽,等级≥ 78 植物经验≥ 35500 神圣经验≥ 45000 8个进化器,究极体进化路线
幻影兽,高贵南瓜兽,等级≥ 80 成就≥ 120 拥有过南瓜兽 7个进化器,究极体进化路线
骷髅撒旦兽,狱门兽,等级≥ 76 成就≥ 110 黑暗经验≥ 39000 8个进化器,究极体进化路线
天翔V龙兽,杜纳斯兽,等级≥ 77 成就数≥ 100 巨龙经验≥ 15900 7个进化器,究极体进化路线
华丽兽,海德拉兽,等级≥ 85 击杀数≥ 7000 植物经验≥ 65000 8个进化器,究极体进化路线
地狱使者兽,异次元兽,等级≥ 90 完成挑战模式：异次元 黑暗经验≥ 65000 10个进化器,究极体进化路线
神圣天使兽,主天使兽,等级≥ 75 击杀数≥ 4000 神圣经验≥ 59000 7个进化器,究极体进化路线
巨硬针毛兽,螺旋兽：激昂形态,等级≥ 76 野兽经验≥ 95000 拥有过螺旋兽 9个进化器,究极体进化路线
祖利兽,祖利兽（圣诞树）,等级≥ 85 携带圣诞拐杖糖 植物经验≥ 65000 8个进化器,究极体进化路线
闪光暴龙兽,闪光暴龙兽：毁灭形态,等级≥ 85 巨龙经验≥ 55000 黑暗经验≥ 37500 2个加速器,超究极进化路线
奥米加兽,帝皇龙兽：圣骑士形态,& 帝皇龙兽：战士形态 合体进化：1个数码合体芯片 等级≥ 95 神圣经验≥ 150000,超究极进化路线
奥米加兽兹瓦特,奥米加兽兹瓦特战损,等级≥ 90 击杀数≥ 10000 6个加速器,超究极进化路线
帝皇龙兽：战士形态,帝皇龙兽：龙形态,等级≥ 80 携带模式选择器,超究极进化路线
天女兽,座天使兽：堕落形态,等级≥ 90 黑暗经验≥ 66666 拥有过座天使兽 7个加速器,超究极进化路线
座天使兽：堕落形态,座天使兽,等级≥ 85 携带模式选择器,超究极进化路线
梅尔瓦兽,恶鬼梅尔瓦兽,& 奥加兽 合体进化：1个数码组合芯片 等级≥ 95 友情≥ 5♥ 黑暗经验≥ 120000,超究极进化路线
柯罗诺兽：神圣形态,柯罗诺兽：毁灭形态,等级≥ 95 携带模式选择器 黑暗经验≥ 95000 2个加速器,超究极进化路线
武天兽,柯罗诺兽：毁灭形态,等级≥ 90 完成挑战模式：时间大师 黑暗经验≥ 150000 10个加速器,超究极进化路线
柯罗诺兽：毁灭形态,柯罗诺兽：神圣形态,等级≥ 95 携带模式选择器 鸟类经验≥ 95000 2个加速器,超究极进化路线
V仔兽,烈焰龙兽,等级≥ 15 携带磨损的勇气数码精神,装甲体进化路线
烈焰龙兽,天翔V龙兽,等级≥ 45 巨龙经验≥ 5600 胜率≥ 99%,装甲体进化路线
麻鹰兽,异特龙兽,等级≥ 15 携带磨损的勇气数码精神,装甲体进化路线
异特龙兽,天翔V龙兽,等级≥ 45 巨龙经验≥ 5600 胜率≥ 99%,装甲体进化路线
V仔兽,闪电龙兽,等级≥ 15 携带磨损的友谊数码精神,装甲体进化路线
闪电龙兽,兽人加鲁鲁（黑）,等级≥ 45 野兽经验≥ 5200,装甲体进化路线
麻鹰兽,荷鲁斯兽,等级≥ 15 携带磨损的爱心数码精神,装甲体进化路线
荷鲁斯兽,迦楼罗兽,等级≥ 45 鸟类经验≥ 2980,装甲体进化路线
麻鹰兽,手里剑兽,等级≥ 15 携带磨损的纯真数码精神,装甲体进化路线
手里剑兽,超比多兽（红）,等级≥ 45 昆虫经验≥ 5100,装甲体进化路线
犰狳兽,挖掘兽,等级≥ 15 携带磨损的知识数码精神,装甲体进化路线
挖掘兽,花仙兽,等级≥ 45 植物经验≥ 3990 友情≥ 4.5♥,装甲体进化路线
犰狳兽,潜艇兽,等级≥ 15 携带磨损的诚实数码精神,装甲体进化路线
潜艇兽,恶海龙兽,等级≥ 45 水生经验≥ 1900 黑暗经验≥ 3890,装甲体进化路线
巴达兽,天马兽,等级≥ 15 携带磨损的希望数码精神,装甲体进化路线
天马兽,骏鹰兽,等级≥ 45 鸟类经验≥ 2500 野兽经验≥ 2500,装甲体进化路线
犰狳兽,绵羊兽,等级≥ 15 携带磨损的希望数码精神,装甲体进化路线
绵羊兽,安底罗兽（神将）,等级≥ 45 野兽经验≥ 6180 友情≥ 2♥ & 友情≤ 4♥,装甲体进化路线
小狗兽,纳芙蒂兽,等级≥ 15 携带磨损的光明数码精神,装甲体进化路线
纳芙蒂兽,天女兽,等级≥ 45 神圣经验≥ 5200 友情≥ 2.5♥,装甲体进化路线
麻鹰兽,大嘴鸟兽,等级≥ 15 携带磨损的温柔数码精神,装甲体进化路线
大嘴鸟兽,祭师兽,等级≥ 55 神圣经验≥ 4900,装甲体进化路线
虫虫兽,爱精灵兽,等级≥ 15 携带磨损的善良数码精神,装甲体进化路线
爱精灵兽,花仙兽,等级≥ 45 植物经验≥ 5120 友情≥ 4.5♥,装甲体进化路线
虫虫兽,爱精灵兽（绿）,等级≥ 25 携带磨损的善良数码精神 拥有过爱精灵兽,装甲体进化路线
爱精灵兽（绿）,究极古加兽,等级≥ 70 昆虫经验≥ 35000 胜率≥ 85% 8个进化器,装甲体进化路线
大耳兽,疾速兽（黄金）,等级≥ 75 携带磨损的命运数码精神 7个进化器,装甲体进化路线
V仔兽,黄金V龙兽,等级≥ 75 携带磨损的命运数码精神 7个进化器,装甲体进化路线
